year,month,category,target_qty_in,target_qty_out,target_turnover_rate,target_stockout_rate,target_fill_rate
2023,1,Âm thanh & Tai nghe,29442,20905,0.79,0.03,0.98
2023,1,Điện thoại & Phụ kiện,36450,14412,0.89,0.04,0.99
2023,1,Đồng hồ thông minh,5190,2743,0.87,0.03,0.99
2023,1,Gia dụng thông minh,4678,3474,0.89,0.02,0.97
2023,1,Laptop & Máy tính,188761,113679,0.94,0.04,0.98
2023,1,Máy tính bảng,1358,845,0.8,0.02,0.95
2023,1,Mỹ phẩm & Làm đẹp,5596,3584,0.84,0.05,0.97
2023,1,Nhà thông minh,7819,4534,0.79,0.05,0.95
2023,1,Phụ kiện công nghệ,12644,6438,0.95,0.05,0.97
2023,1,Thời trang nam,4896,3485,0.84,0.04,0.94
2023,1,Thời trang nữ,5674,3722,0.81,0.02,0.96
2023,2,Âm thanh & Tai nghe,42638,18872,0.91,0.02,0.95
2023,2,Điện thoại & Phụ kiện,13872,12901,0.9,0.03,0.97
2023,2,Đồng hồ thông minh,3946,2394,0.92,0.04,0.98
2023,2,Gia dụng thông minh,6667,3195,0.77,0.02,0.95
2023,2,Laptop & Máy tính,214666,100735,0.79,0.04,0.98
2023,2,Máy tính bảng,1877,844,0.77,0.04,0.95
2023,2,Mỹ phẩm & Làm đẹp,6736,3259,0.87,0.02,0.95
2023,2,Nhà thông minh,8229,3981,0.83,0.03,0.96
2023,2,Phụ kiện công nghệ,8621,5796,0.93,0.04,0.96
2023,2,Thời trang nam,6795,3241,0.88,0.04,0.96
2023,2,Thời trang nữ,6473,3255,0.79,0.04,0.97
2023,3,Âm thanh & Tai nghe,38696,40551,0.9,0.02,0.96
2023,3,Điện thoại & Phụ kiện,33714,26809,0.85,0.05,0.98
2023,3,Đồng hồ thông minh,5136,5194,0.94,0.03,0.98
2023,3,Gia dụng thông minh,6471,6883,0.87,0.03,0.97
2023,3,Laptop & Máy tính,209987,226253,0.88,0.03,0.96
2023,3,Máy tính bảng,1735,1778,0.88,0.04,0.99
2023,3,Mỹ phẩm & Làm đẹp,6498,7079,0.78,0.04,0.97
2023,3,Nhà thông minh,8121,8942,0.8,0.05,0.96
2023,3,Phụ kiện công nghệ,11003,11508,0.86,0.02,0.96
2023,3,Thời trang nam,6553,6832,0.78,0.04,0.96
2023,3,Thời trang nữ,6486,6883,0.9,0.03,0.97
2023,4,Âm thanh & Tai nghe,27973,44894,0.9,0.04,0.95
2023,4,Điện thoại & Phụ kiện,11751,28473,0.81,0.04,0.99
2023,4,Đồng hồ thông minh,3939,5292,0.86,0.05,0.97
2023,4,Gia dụng thông minh,4903,7208,0.95,0.04,0.96
2023,4,Laptop & Máy tính,148653,234433,0.78,0.02,0.96
2023,4,Máy tính bảng,1291,1929,0.83,0.05,0.95
2023,4,Mỹ phẩm & Làm đẹp,5051,7148,0.86,0.05,0.96
2023,4,Nhà thông minh,5989,9600,0.85,0.05,0.98
2023,4,Phụ kiện công nghệ,7732,12396,0.76,0.03,0.96
2023,4,Thời trang nam,4606,7244,0.85,0.03,0.98
2023,4,Thời trang nữ,4832,7302,0.88,0.04,0.96
2023,5,Âm thanh & Tai nghe,27689,38320,0.76,0.02,0.96
2023,5,Điện thoại & Phụ kiện,18822,26258,0.78,0.03,0.97
2023,5,Đồng hồ thông minh,3985,5037,0.77,0.03,0.95
2023,5,Gia dụng thông minh,4709,6447,0.79,0.04,0.98
2023,5,Laptop & Máy tính,156001,207875,0.77,0.04,0.98
2023,5,Máy tính bảng,1161,1638,0.77,0.04,0.97
2023,5,Mỹ phẩm & Làm đẹp,4474,6574,0.89,0.04,0.98
2023,5,Nhà thông minh,6436,7726,0.76,0.03,0.97
2023,5,Phụ kiện công nghệ,9121,10764,0.77,0.03,0.99
2023,5,Thời trang nam,5218,6139,0.83,0.04,0.94
2023,5,Thời trang nữ,4933,6259,0.84,0.04,0.98
2023,6,Âm thanh & Tai nghe,31970,28456,0.93,0.05,0.98
2023,6,Điện thoại & Phụ kiện,20736,17959,0.76,0.03,0.96
2023,6,Đồng hồ thông minh,2802,3608,0.93,0.04,0.95
2023,6,Gia dụng thông minh,4807,4766,0.76,0.03,0.97
2023,6,Laptop & Máy tính,164041,146504,0.82,0.04,0.94
2023,6,Máy tính bảng,1191,1237,0.86,0.04,0.94
2023,6,Mỹ phẩm & Làm đẹp,5131,4589,0.83,0.04,0.99
2023,6,Nhà thông minh,5705,5696,0.95,0.03,0.97
2023,6,Phụ kiện công nghệ,7458,8073,0.84,0.04,0.94
2023,6,Thời trang nam,4430,4779,0.79,0.03,0.99
2023,6,Thời trang nữ,4884,4678,0.84,0.02,0.97
2023,7,Âm thanh & Tai nghe,38518,28758,0.95,0.02,0.97
2023,7,Camera & Quay phim,542,0,0.93,0.02,0.97
2023,7,Điện thoại & Phụ kiện,29663,18784,0.79,0.05,0.96
2023,7,Đồng hồ thông minh,6745,3575,0.78,0.04,0.95
2023,7,Gia dụng thông minh,7072,4559,0.88,0.04,0.97
2023,7,Laptop & Máy tính,234960,150655,0.8,0.04,0.97
2023,7,Máy tính bảng,3625,1112,0.76,0.03,0.98
2023,7,Mỹ phẩm & Làm đẹp,7112,4742,0.91,0.02,0.94
2023,7,Nhà thông minh,8426,5719,0.76,0.03,0.95
2023,7,Phụ kiện công nghệ,12450,7944,0.87,0.03,0.98
2023,7,Thời trang nam,6821,4646,0.78,0.03,0.95
2023,7,Thời trang nữ,7098,4849,0.76,0.03,0.97
2023,8,Âm thanh & Tai nghe,16003,31542,0.82,0.03,0.96
2023,8,Camera & Quay phim,2571,0,0.75,0.03,0.95
2023,8,Điện thoại & Phụ kiện,118815,20939,0.76,0.02,0.95
2023,8,Đồng hồ thông minh,7969,4381,0.94,0.03,0.96
2023,8,Gia dụng thông minh,6469,4914,0.93,0.03,0.98
2023,8,Laptop & Máy tính,184193,159710,0.8,0.05,0.95
2023,8,Máy tính bảng,3139,1870,0.93,0.04,0.95
2023,8,Mỹ phẩm & Làm đẹp,6460,4893,0.75,0.04,0.94
2023,8,Nhà thông minh,8658,6251,0.81,0.04,0.99
2023,8,Phụ kiện công nghệ,13942,8548,0.94,0.03,0.99
2023,8,Thời trang nam,7491,4797,0.92,0.02,0.95
2023,8,Thời trang nữ,6412,4765,0.94,0.03,0.96
2023,9,Âm thanh & Tai nghe,28497,36466,0.75,0.04,0.97
2023,9,Camera & Quay phim,9789,1126,0.93,0.04,0.97
2023,9,Điện thoại & Phụ kiện,230568,52691,0.79,0.04,0.99
2023,9,Đồng hồ thông minh,13582,7241,0.94,0.03,0.98
2023,9,Gia dụng thông minh,12761,6857,0.95,0.04,0.95
2023,9,Laptop & Máy tính,339857,230397,0.83,0.02,0.95
2023,9,Máy tính bảng,5580,3461,0.95,0.02,0.95
2023,9,Mỹ phẩm & Làm đẹp,10803,7180,0.92,0.03,0.96
2023,9,Nhà thông minh,14635,8422,0.79,0.05,0.98
2023,9,Phụ kiện công nghệ,17574,11840,0.85,0.04,0.96
2023,9,Thời trang nam,9737,6823,0.78,0.04,0.97
2023,9,Thời trang nữ,11380,6729,0.86,0.04,0.97
2023,10,Âm thanh & Tai nghe,36797,15607,0.83,0.04,0.94
2023,10,Camera & Quay phim,9436,3479,0.77,0.03,0.99
2023,10,Điện thoại & Phụ kiện,284107,120944,0.77,0.04,0.98
2023,10,Đồng hồ thông minh,18559,7807,0.88,0.02,0.95
2023,10,Gia dụng thông minh,13258,6247,0.81,0.03,0.94
2023,10,Laptop & Máy tính,433511,174720,0.86,0.03,0.96
2023,10,Máy tính bảng,10953,3068,0.93,0.05,0.99
2023,10,Mỹ phẩm & Làm đẹp,15069,6425,0.88,0.04,0.98
2023,10,Nhà thông minh,17422,7775,0.86,0.04,0.98
2023,10,Phụ kiện công nghệ,25663,10341,0.87,0.03,0.95
2023,10,Thời trang nam,14865,6384,0.94,0.04,0.98
2023,10,Thời trang nữ,14296,6089,0.94,0.04,0.98
2023,11,Âm thanh & Tai nghe,10300,26910,0.82,0.03,0.95
2023,11,Camera & Quay phim,3033,7907,0.83,0.05,0.97
2023,11,Điện thoại & Phụ kiện,79914,226724,0.93,0.03,0.99
2023,11,Đồng hồ thông minh,5346,13432,0.76,0.04,0.99
2023,11,Gia dụng thông minh,3909,10677,0.8,0.02,0.97
2023,11,Laptop & Máy tính,103262,329909,0.83,0.02,0.97
2023,11,Máy tính bảng,3041,7762,0.94,0.04,0.98
2023,11,Mỹ phẩm & Làm đẹp,3678,10668,0.86,0.02,0.96
2023,11,Nhà thông minh,4665,13280,0.84,0.03,0.98
2023,11,Phụ kiện công nghệ,5886,18765,0.8,0.04,0.96
2023,11,Thời trang nam,3784,10704,0.95,0.02,0.98
2023,11,Thời trang nữ,3895,10661,0.94,0.05,0.99
2023,12,Âm thanh & Tai nghe,8009,37553,0.95,0.02,0.98
2023,12,Camera & Quay phim,2494,11022,0.84,0.04,0.98
2023,12,Điện thoại & Phụ kiện,105022,309802,0.79,0.02,0.95
2023,12,Đồng hồ thông minh,4022,18430,0.93,0.05,0.99
2023,12,Gia dụng thông minh,3265,14304,0.87,0.04,0.98
2023,12,Laptop & Máy tính,64030,423173,0.76,0.03,0.96
2023,12,Máy tính bảng,2352,11263,0.9,0.03,0.96
2023,12,Mỹ phẩm & Làm đẹp,3382,14798,0.76,0.03,0.98
2023,12,Nhà thông minh,3980,17520,0.83,0.04,0.95
2023,12,Phụ kiện công nghệ,5466,26190,0.83,0.03,0.99
2023,12,Thời trang nam,2930,14654,0.75,0.03,0.99
2023,12,Thời trang nữ,3629,14468,0.93,0.05,0.98
2024,1,Âm thanh & Tai nghe,11045,9508,0.79,0.03,0.96
2024,1,Camera & Quay phim,3179,2910,0.82,0.02,0.95
2024,1,Điện thoại & Phụ kiện,176356,93666,0.92,0.04,0.98
2024,1,Đồng hồ thông minh,6192,4754,0.89,0.02,0.96
2024,1,Gia dụng thông minh,4275,3475,0.94,0.03,0.95
2024,1,Laptop & Máy tính,77387,98476,0.9,0.04,0.96
2024,1,Máy tính bảng,4261,2685,0.79,0.04,0.95
2024,1,Mỹ phẩm & Làm đẹp,4414,3490,0.8,0.03,0.99
2024,1,Nhà thông minh,5252,4546,0.89,0.02,0.96
2024,1,Phụ kiện công nghệ,9030,6501,0.84,0.04,0.99
2024,1,Thời trang nam,4474,3673,0.84,0.05,0.96
2024,1,Thời trang nữ,4167,3744,0.87,0.02,0.97
2024,2,Âm thanh & Tai nghe,12314,7954,0.85,0.03,0.95
2024,2,Camera & Quay phim,3527,2460,0.87,0.04,0.97
2024,2,Điện thoại & Phụ kiện,193330,107120,0.94,0.05,0.96
2024,2,Đồng hồ thông minh,5544,3910,0.83,0.05,0.96
2024,2,Gia dụng thông minh,6222,3203,0.93,0.02,0.99
2024,2,Laptop & Máy tính,84391,66765,0.9,0.05,0.95
2024,2,Máy tính bảng,4259,2385,0.94,0.04,0.95
2024,2,Mỹ phẩm & Làm đẹp,5063,3362,0.94,0.04,0.94
2024,2,Nhà thông minh,6078,4041,0.79,0.04,0.94
2024,2,Phụ kiện công nghệ,7770,5654,0.92,0.03,0.99
2024,2,Thời trang nam,5332,3061,0.84,0.03,0.99
2024,2,Thời trang nữ,5311,3285,0.79,0.05,0.99
2024,3,Âm thanh & Tai nghe,12440,14508,0.82,0.03,0.97
2024,3,Camera & Quay phim,5122,3988,0.88,0.04,0.94
2024,3,Điện thoại & Phụ kiện,216096,223470,0.77,0.02,0.99
2024,3,Đồng hồ thông minh,6640,7296,0.93,0.04,0.99
2024,3,Gia dụng thông minh,6744,6788,0.82,0.03,0.95
2024,3,Laptop & Máy tính,91947,100823,0.94,0.05,0.96
2024,3,Máy tính bảng,5223,5374,0.81,0.05,0.97
2024,3,Mỹ phẩm & Làm đẹp,4887,5707,0.91,0.04,0.95
2024,3,Nhà thông minh,6347,6957,0.79,0.03,0.98
2024,3,Phụ kiện công nghệ,9383,10179,0.83,0.05,0.94
2024,3,Thời trang nam,4590,5536,0.8,0.04,0.95
2024,3,Thời trang nữ,5498,5796,0.93,0.02,0.94
2024,4,Âm thanh & Tai nghe,9939,13718,0.84,0.02,0.95
2024,4,Camera & Quay phim,3999,4240,0.81,0.03,0.95
2024,4,Điện thoại & Phụ kiện,159997,211222,0.87,0.04,0.95
2024,4,Đồng hồ thông minh,5440,6824,0.81,0.03,0.95
2024,4,Gia dụng thông minh,4674,7091,0.91,0.03,0.96
2024,4,Laptop & Máy tính,73614,93587,0.94,0.05,0.96
2024,4,Máy tính bảng,4855,5505,0.85,0.04,0.98
2024,4,Mỹ phẩm & Làm đẹp,4187,5433,0.79,0.04,0.98
2024,4,Nhà thông minh,5109,6778,0.8,0.05,0.94
2024,4,Phụ kiện công nghệ,6954,9130,0.77,0.02,0.94
2024,4,Thời trang nam,4110,5444,0.91,0.04,0.98
2024,4,Thời trang nữ,3990,5318,0.76,0.03,0.95
2024,5,Âm thanh & Tai nghe,9223,12640,0.82,0.04,0.97
2024,5,Camera & Quay phim,3750,4872,0.79,0.03,0.97
2024,5,Điện thoại & Phụ kiện,159112,210989,0.87,0.02,0.98
2024,5,Đồng hồ thông minh,4292,6130,0.76,0.03,0.95
2024,5,Gia dụng thông minh,4778,6368,0.78,0.03,0.94
