year,month,category,target_orders,target_revenue
2023,1,Âm thanh & Tai nghe,14745,175321000000
2023,1,Điện thoại & Phụ kiện,9619,454488000000
2023,1,Đồng hồ thông minh,2025,38631000000
2023,1,Gia dụng thông minh,2517,34102000000
2023,1,Laptop & Máy tính,52627,4116302000000
2023,1,Máy tính bảng,647,11911000000
2023,1,Mỹ phẩm & Làm đẹp,2758,12418000000
2023,1,Nhà thông minh,3246,10810000000
2023,1,Phụ kiện công nghệ,4539,17481000000
2023,1,Thời trang nam,2430,8595000000
2023,1,Thời trang nữ,2690,16180000000
2023,2,Âm thanh & Tai nghe,13034,155583000000
2023,2,Điện thoại & Phụ kiện,8658,406880000000
2023,2,Đồng hồ thông minh,1746,35320000000
2023,2,Gia dụng thông minh,2355,32883000000
2023,2,Laptop & Máy tính,46083,3623863000000
2023,2,Máy tính bảng,594,11127000000
2023,2,Mỹ phẩm & Làm đẹp,2397,10994000000
2023,2,Nhà thông minh,2961,9616000000
2023,2,Phụ kiện công nghệ,3865,14809000000
2023,2,Thời trang nam,2448,8352000000
2023,2,Thời trang nữ,2430,14723000000
2023,3,Âm thanh & Tai nghe,27312,321276000000
2023,3,Điện thoại & Phụ kiện,18609,855584000000
2023,3,Đồng hồ thông minh,3906,76859000000
2023,3,Gia dụng thông minh,4912,65914000000
2023,3,Laptop & Máy tính,94970,7279333000000
2023,3,Máy tính bảng,1291,23691000000
2023,3,Mỹ phẩm & Làm đẹp,5328,24005000000
2023,3,Nhà thông minh,6412,20765000000
2023,3,Phụ kiện công nghệ,8874,32611000000
2023,3,Thời trang nam,5071,16894000000
2023,3,Thời trang nữ,5031,29019000000
2023,4,Âm thanh & Tai nghe,31298,367771000000
2023,4,Điện thoại & Phụ kiện,20187,929255000000
2023,4,Đồng hồ thông minh,4044,77337000000
2023,4,Gia dụng thông minh,5436,71874000000
2023,4,Laptop & Máy tính,106161,8134321000000
2023,4,Máy tính bảng,1463,26721000000
2023,4,Mỹ phẩm & Làm đẹp,5470,23747000000
2023,4,Nhà thông minh,6963,22761000000
2023,4,Phụ kiện công nghệ,8891,32754000000
2023,4,Thời trang nam,5228,17233000000
2023,4,Thời trang nữ,5323,31246000000
2023,5,Âm thanh & Tai nghe,24767,287991000000
2023,5,Điện thoại & Phụ kiện,17450,792505000000
2023,5,Đồng hồ thông minh,3485,66612000000
2023,5,Gia dụng thông minh,4647,61238000000
2023,5,Laptop & Máy tính,92454,7023670000000
2023,5,Máy tính bảng,1184,21665000000
2023,5,Mỹ phẩm & Làm đẹp,4684,21677000000
2023,5,Nhà thông minh,5565,17858000000
2023,5,Phụ kiện công nghệ,7916,29299000000
2023,5,Thời trang nam,4883,16244000000
2023,5,Thời trang nữ,4691,27495000000
2023,6,Âm thanh & Tai nghe,19142,218590000000
2023,6,Điện thoại & Phụ kiện,12533,557180000000
2023,6,Đồng hồ thông minh,2670,49594000000
2023,6,Gia dụng thông minh,3360,43855000000
2023,6,Laptop & Máy tính,66022,4934461000000
2023,6,Máy tính bảng,939,16492000000
2023,6,Mỹ phẩm & Làm đẹp,3525,15036000000
2023,6,Nhà thông minh,4249,13024000000
2023,6,Phụ kiện công nghệ,5976,21528000000
2023,6,Thời trang nam,3528,11568000000
2023,6,Thời trang nữ,3552,19614000000
2023,7,Âm thanh & Tai nghe,18376,214206000000
2023,7,Điện thoại & Phụ kiện,12466,568385000000
2023,7,Đồng hồ thông minh,2532,49555000000
2023,7,Gia dụng thông minh,3323,44171000000
2023,7,Laptop & Máy tính,65309,5015856000000
2023,7,Máy tính bảng,910,16603000000
2023,7,Mỹ phẩm & Làm đẹp,3597,16166000000
2023,7,Nhà thông minh,4240,13548000000
2023,7,Phụ kiện công nghệ,5921,21919000000
2023,7,Thời trang nam,3452,11226000000
2023,7,Thời trang nữ,3562,21055000000
2023,8,Âm thanh & Tai nghe,21132,229175000000
2023,8,Điện thoại & Phụ kiện,14196,602701000000
2023,8,Đồng hồ thông minh,3167,57057000000
2023,8,Gia dụng thông minh,3625,45297000000
2023,8,Laptop & Máy tính,71162,5044323000000
2023,8,Máy tính bảng,1438,35335000000
2023,8,Mỹ phẩm & Làm đẹp,3746,14888000000
2023,8,Nhà thông minh,4480,13380000000
2023,8,Phụ kiện công nghệ,6121,21121000000
2023,8,Thời trang nam,3602,11438000000
2023,8,Thời trang nữ,3605,20423000000
2023,9,Âm thanh & Tai nghe,24895,260825000000
2023,9,Camera & Quay phim,821,19070000000
2023,9,Điện thoại & Phụ kiện,31541,1408115000000
2023,9,Đồng hồ thông minh,5499,96501000000
2023,9,Gia dụng thông minh,5167,62212000000
2023,9,Laptop & Máy tính,103489,6987594000000
2023,9,Máy tính bảng,2534,65449000000
2023,9,Mỹ phẩm & Làm đẹp,5004,20816000000
2023,9,Nhà thông minh,6371,18845000000
2023,9,Phụ kiện công nghệ,8736,29811000000
2023,9,Thời trang nam,5329,16105000000
2023,9,Thời trang nữ,5302,28301000000
2023,10,Âm thanh & Tai nghe,10742,108056000000
2023,10,Camera & Quay phim,2704,66219000000
2023,10,Điện thoại & Phụ kiện,70902,3170037000000
2023,10,Đồng hồ thông minh,5784,104354000000
2023,10,Gia dụng thông minh,4420,54511000000
2023,10,Laptop & Máy tính,91272,5499810000000
2023,10,Máy tính bảng,2188,59175000000
2023,10,Mỹ phẩm & Làm đẹp,4578,19104000000
2023,10,Nhà thông minh,5739,17273000000
2023,10,Phụ kiện công nghệ,8375,28429000000
2023,10,Thời trang nam,4832,15124000000
2023,10,Thời trang nữ,4508,24616000000
2023,11,Âm thanh & Tai nghe,19395,191547000000
2023,11,Camera & Quay phim,5843,137481000000
2023,11,Điện thoại & Phụ kiện,132381,5851300000000
2023,11,Đồng hồ thông minh,10285,182477000000
2023,11,Gia dụng thông minh,7825,95637000000
2023,11,Laptop & Máy tính,164315,11758982000000
2023,11,Máy tính bảng,6041,137730000000
2023,11,Mỹ phẩm & Làm đẹp,7728,30918000000
2023,11,Nhà thông minh,10064,29953000000
2023,11,Phụ kiện công nghệ,13569,45878000000
2023,11,Thời trang nam,8104,24328000000
2023,11,Thời trang nữ,7936,42076000000
2023,12,Âm thanh & Tai nghe,25427,252060000000
2023,12,Camera & Quay phim,7844,183777000000
2023,12,Điện thoại & Phụ kiện,165268,7341188000000
2023,12,Đồng hồ thông minh,14118,249093000000
2023,12,Gia dụng thông minh,11058,137254000000
2023,12,Laptop & Máy tính,227497,16266949000000
2023,12,Máy tính bảng,8068,181500000000
2023,12,Mỹ phẩm & Làm đẹp,10227,42165000000
2023,12,Nhà thông minh,13794,40455000000
2023,12,Phụ kiện công nghệ,19486,66496000000
2023,12,Thời trang nam,10580,32273000000
2023,12,Thời trang nữ,10827,59238000000
2024,1,Âm thanh & Tai nghe,6589,65334000000
2024,1,Camera & Quay phim,2136,48680000000
2024,1,Điện thoại & Phụ kiện,51965,2376962000000
2024,1,Đồng hồ thông minh,3315,58825000000
2024,1,Gia dụng thông minh,2667,31867000000
2024,1,Laptop & Máy tính,50883,3460623000000
2024,1,Máy tính bảng,2042,45450000000
2024,1,Mỹ phẩm & Làm đẹp,2726,11355000000
2024,1,Nhà thông minh,3289,9823000000
2024,1,Phụ kiện công nghệ,4556,15492000000
2024,1,Thời trang nam,2656,8003000000
2024,1,Thời trang nữ,2829,14077000000
2024,2,Âm thanh & Tai nghe,5814,53634000000
2024,2,Camera & Quay phim,1784,39409000000
2024,2,Điện thoại & Phụ kiện,55787,2632081000000
2024,2,Đồng hồ thông minh,2990,49674000000
2024,2,Gia dụng thông minh,2423,27308000000
2024,2,Laptop & Máy tính,38591,2367892000000
2024,2,Máy tính bảng,1757,38115000000
2024,2,Mỹ phẩm & Làm đẹp,2340,8784000000
2024,2,Nhà thông minh,2889,7993000000
2024,2,Phụ kiện công nghệ,4229,13232000000
2024,2,Thời trang nam,2347,6583000000
2024,2,Thời trang nữ,2310,11192000000
2024,3,Âm thanh & Tai nghe,9958,93526000000
2024,3,Camera & Quay phim,3053,69810000000
2024,3,Điện thoại & Phụ kiện,102701,5087632000000
2024,3,Đồng hồ thông minh,5495,93373000000
2024,3,Gia dụng thông minh,5262,54119000000
2024,3,Laptop & Máy tính,57598,3405557000000
2024,3,Máy tính bảng,3888,89754000000
